
==================================================================
ROLAND pipeline + SiST-GNN encoder
  dataset=bitcoin-alpha  mode=live_update  decoder=dot
  node_features=learned  loss=bce  seed=2
==================================================================
  snapshot filter (>= 10 edges): 274 -> 254
  T=254  N=3783  start_compute_mrr=0
  edge features: learned (raw dim 2)
Snapshot 0232 | MRR 0.0010
Snapshot 0233 | MRR 0.0042
Snapshot 0234 | MRR 0.0010
Snapshot 0235 | MRR 0.1485
Snapshot 0236 | MRR 0.0845
Snapshot 0237 | MRR 0.0018
Snapshot 0238 | MRR 0.5217
Snapshot 0239 | MRR 0.6667
Snapshot 0240 | MRR 0.2586
Snapshot 0241 | MRR 0.1255
Snapshot 0242 | MRR 0.5096
Snapshot 0243 | MRR 0.0032
Snapshot 0244 | MRR 0.0010
Snapshot 0245 | MRR 0.0015
Snapshot 0246 | MRR 0.0493
Snapshot 0247 | MRR 0.0010
Snapshot 0248 | MRR 0.0017
Snapshot 0249 | MRR 0.0013
Snapshot 0250 | MRR 0.0010
Snapshot 0251 | MRR 0.0919
Snapshot 0252 | MRR 0.0672
Snapshot 0253 | MRR 0.0068

bitcoin-alpha  MRR = 0.079031  (253 eval snapshots)
saved -> results/roland_port/live_update_und-yes_loss-bce/dot_node-learned_edge-learned/bitcoin-alpha/seed2/exp_20260814-190532_lp.json
