
==================================================================
ROLAND pipeline + SiST-GNN encoder
  dataset=bitcoin-otc  mode=live_update  decoder=mlp
  node_features=learned  loss=bce  seed=3
==================================================================
  snapshot filter (>= 10 edges): 279 -> 273
  T=273  N=5881  start_compute_mrr=0
  edge features: learned (raw dim 2)
Snapshot 0256 | MRR 0.0770
Snapshot 0257 | MRR 0.2939
Snapshot 0258 | MRR 0.0038
Snapshot 0259 | MRR 0.1250
Snapshot 0260 | MRR 0.0692
Snapshot 0261 | MRR 0.1964
Snapshot 0262 | MRR 0.0938
Snapshot 0263 | MRR 0.4111
Snapshot 0264 | MRR 0.0563
Snapshot 0265 | MRR 0.5208
Snapshot 0266 | MRR 0.1756
Snapshot 0267 | MRR 0.3676
Snapshot 0268 | MRR 0.1690
Snapshot 0269 | MRR 0.4479
Snapshot 0270 | MRR 0.2038
Snapshot 0271 | MRR 0.4643
Snapshot 0272 | MRR 0.6735

bitcoin-otc  MRR = 0.205355  (272 eval snapshots)
saved -> results/roland_port/live_update_und-yes_loss-bce/mlp_node-learned_edge-learned/bitcoin-otc/seed3/exp_20260814-221257_lp.json
