dataset,snapshot,mrr
bitcoin-alpha,23,0.20100240409374237
bitcoin-alpha,24,0.17890805006027222
bitcoin-alpha,25,0.1780627965927124
bitcoin-alpha,26,0.2951129376888275
bitcoin-alpha,27,0.23748356103897095
bitcoin-alpha,28,0.25265470147132874
bitcoin-alpha,29,0.23075802624225616
bitcoin-alpha,30,0.23321498930454254
bitcoin-alpha,31,0.21960878372192383
bitcoin-alpha,32,0.24112489819526672
bitcoin-alpha,33,0.2889536917209625
bitcoin-alpha,34,0.2162003368139267
bitcoin-alpha,35,0.2749820351600647
bitcoin-alpha,36,0.2642579972743988
bitcoin-alpha,37,0.28180474042892456
bitcoin-alpha,38,0.24583202600479126
bitcoin-alpha,39,0.20882073044776917
bitcoin-alpha,40,0.2324666529893875
bitcoin-alpha,41,0.2602366805076599
bitcoin-alpha,42,0.2613297998905182
bitcoin-alpha,43,0.3228936493396759
bitcoin-alpha,44,0.2513100802898407
bitcoin-alpha,45,0.25278186798095703
bitcoin-alpha,46,0.3006881773471832
bitcoin-alpha,47,0.27917444705963135
bitcoin-alpha,48,0.31766563653945923
bitcoin-alpha,49,0.3349190354347229
bitcoin-alpha,50,0.30844646692276
bitcoin-alpha,51,0.3064974546432495
bitcoin-alpha,52,0.34233570098876953
bitcoin-alpha,53,0.32809311151504517
bitcoin-alpha,54,0.31031569838523865
bitcoin-alpha,55,0.3040577173233032
bitcoin-alpha,56,0.3545992076396942
bitcoin-alpha,57,0.36196011304855347
bitcoin-alpha,58,0.38911253213882446
bitcoin-alpha,59,0.40368402004241943
bitcoin-alpha,60,0.34813597798347473
bitcoin-alpha,61,0.34918227791786194
bitcoin-alpha,62,0.3598116934299469
bitcoin-alpha,63,0.27286818623542786
bitcoin-alpha,64,0.3445585370063782
bitcoin-alpha,65,0.35250526666641235
bitcoin-alpha,66,0.3963680863380432
bitcoin-alpha,67,0.4478379189968109
bitcoin-alpha,68,0.39505234360694885
bitcoin-alpha,69,0.3943639099597931
bitcoin-alpha,70,0.388700395822525
bitcoin-alpha,71,0.37441521883010864
bitcoin-alpha,72,0.37250739336013794
bitcoin-alpha,73,0.4141077399253845
bitcoin-alpha,74,0.37004053592681885
bitcoin-alpha,75,0.40548378229141235
bitcoin-alpha,76,0.3706548511981964
bitcoin-alpha,77,0.4691692888736725
bitcoin-alpha,78,0.3794766068458557
bitcoin-alpha,79,0.32111796736717224
bitcoin-alpha,80,0.35868483781814575
bitcoin-alpha,81,0.3679935038089752
bitcoin-alpha,82,0.4635098874568939
bitcoin-alpha,83,0.45535773038864136
bitcoin-alpha,84,0.40722334384918213
bitcoin-alpha,85,0.38078102469444275
bitcoin-alpha,86,0.3754291236400604
bitcoin-alpha,87,0.5320051908493042
bitcoin-alpha,88,0.48094862699508667
bitcoin-alpha,89,0.4081243872642517
bitcoin-alpha,90,0.38398945331573486
bitcoin-alpha,91,0.4187285900115967
bitcoin-alpha,92,0.5900139808654785
bitcoin-alpha,93,0.29650795459747314
bitcoin-alpha,94,0.33407941460609436
bitcoin-alpha,95,0.44401976466178894
bitcoin-alpha,96,0.45071518421173096
bitcoin-alpha,97,0.5921425223350525
bitcoin-alpha,98,0.2900688946247101
bitcoin-alpha,99,0.42486926913261414
bitcoin-alpha,100,0.5422403812408447
bitcoin-alpha,101,0.4810270667076111
bitcoin-alpha,102,0.4455784857273102
bitcoin-alpha,103,0.4121394455432892
bitcoin-alpha,104,0.3798219561576843
bitcoin-alpha,105,0.5409722328186035
bitcoin-alpha,106,0.4264186918735504
bitcoin-alpha,107,0.4144136905670166
bitcoin-alpha,108,0.45304015278816223
bitcoin-alpha,109,0.49914559721946716
bitcoin-alpha,110,0.7820513248443604
bitcoin-alpha,111,0.647777795791626
bitcoin-alpha,112,0.6350000500679016
bitcoin-alpha,113,0.6309524774551392
bitcoin-alpha,114,0.26527780294418335
bitcoin-alpha,115,0.3346059322357178
bitcoin-alpha,116,0.3349492847919464
bitcoin-alpha,117,0.5731884241104126
bitcoin-alpha,118,0.37471848726272583
bitcoin-alpha,119,0.547619104385376
bitcoin-alpha,120,0.345630407333374
bitcoin-alpha,121,0.27221861481666565
bitcoin-alpha,122,0.294095516204834
bitcoin-alpha,123,0.6499999761581421
bitcoin-alpha,124,0.6574074625968933
bitcoin-alpha,125,0.8461538553237915
bitcoin-alpha,126,0.47396495938301086
bitcoin-alpha,127,0.7666667103767395
bitcoin-alpha,128,0.6560515761375427
bitcoin-alpha,129,0.3711407780647278
bitcoin-alpha,130,1.0
bitcoin-alpha,131,0.5178571343421936
bitcoin-alpha,132,0.3255380392074585
bitcoin-alpha,133,0.42879074811935425
bitcoin-alpha,134,0.48664969205856323
bitcoin-alpha,135,0.4166666865348816
